types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Appointment100163779,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Choice100161243,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Decision100162632,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/Nomination100164152,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/WikicatGeorgeH.W.BushAdministrationControversies,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
http://dbpedia.org/class/yago/WikicatNominationsToTheUnitedStatesSupremeCourt,http://dbpedia.org/resource/Clarence_Thomas_Supreme_Court_nomination,Clarence Thomas Supreme Court nomination,97,62,1.0,0.0,1,59,== Discography == | === Video releases ===
