types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/WikicatSchoolDistrictsInNewYork,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/AdministrativeDistrict108491826,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Penfield_Central_School_District,Penfield,50,0,0.7437324697237256,0.2624132760348922,0,7,== Scores == | === Film (English-language) ===
