types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/WikicatAssociationFootballForwards,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Athlete109820263,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/BasketballPlayer109842047,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Forward110105733,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Forward_(association_football),inside-right,47722,58,0.999979306396498,0.0,5,6,== Biography == | === Personal life ===
