types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/ontology/Road,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/WikicatStreetsAssociatedWithTheUniversityOfCambridge,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/WikicatStreetsInCambridge,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Road104096066,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Street104334599,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Thoroughfare104426618,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Way104564698,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jesus_Lane,Jesus Lane,47,103,0.9999999999995736,0.0,11,8,== Early life == | === Gap year ===
