types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/IllHealth114052046,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Injury114285662,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/Wale114298620,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/PathologicalState114051917,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/PhysicalCondition114034177,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
http://dbpedia.org/class/yago/WikicatWales,http://dbpedia.org/resource/Welsh_nationalism,Welsh Nationalism,242,94,1.0,0.0,16,41,== Poetry == | === Welsh poet ===
