types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://xmlns.com/foaf/0.1/Organization,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/ontology/University,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/WikicatUniversitiesAndCollegesAccreditedByTheSouthernAssociationOfCollegesAndSchools,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/WikicatUniversitiesAndCollegesAffiliatedWithTheUnitedMethodistChurch,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/WikicatUniversitiesAndCollegesInNorthCarolina,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/WikicatLibrariesInNorthCarolina,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/EducationalInstitution108276342,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Library103660909,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/University108286569,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
http://dbpedia.org/class/yago/WikicatEducationalInstitutionsEstablishedIn1934,http://dbpedia.org/resource/Brevard_College,Brevard,105,26,0.9999591707089768,3.155234715252534e-05,0,6,== Biography == | === Sanctity ===
