types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatAmericanActionThrillerFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatAmericanFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/ontology/Film,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatWarnerBros.Films,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatRegencyEnterprisesFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatSeafaringFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Wikicat1990sActionFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Wikicat1990sActionThrillerFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/Wikicat1992Films,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatEnglish-languageFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFilmsAboutShipHijackings,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFilmsAboutTerrorism,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatFilmsDirectedByAndrewDavis,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
http://dbpedia.org/class/yago/WikicatStudioCanalFilms,http://dbpedia.org/resource/Under_Siege,Under Siege,170,19,0.9999999996651354,3.122306742430287e-10,0,56,== Discography == | === Productions ===
