types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Priest110470779,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/SpiritualLeader109505153,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Wikicat19th-centuryRomanCatholicBishops,http://dbpedia.org/resource/Leonardo_Antonelli,Antonelli,18,6,0.6285968522195094,0.5908440165759667,0,65,== Discography == | === Selected remixes ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
http://dbpedia.org/class/yago/WikicatPeopleAssociatedWithTheWatergateScandal,http://dbpedia.org/resource/Committee_for_the_Re-Election_of_the_President,CREEP,121,0,0.9999999986390548,1.1949860960429704e-09,0,87,== Discography == | === Selected remixes ===
