types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/Set107996689,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/WikicatEvaluationMethods,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
http://dbpedia.org/class/yago/WikicatStatisticalDataSets,http://dbpedia.org/resource/Sample_(statistics),random sample,1802,65,0.9999999813952628,0.0,1,11,== Academic and military career == | === Publications ===
