types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Gambler110118844,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Poet110444194,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PrizeWinner109627807,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatNordicCouncilLiteraturePrizeWinners,http://dbpedia.org/resource/Klaus_Rifbjerg,Klaus Rifbjerg,63,26,1.0,0.0,1,6,== Discography == | === As sideman ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatDanishComposers,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatDanishRockMusicians,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatMusiciansFromCopenhagen,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/WikicatRockMusicians,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Composer109947232,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat20th-centuryComposers,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
http://dbpedia.org/class/yago/Wikicat21st-centuryComposers,http://dbpedia.org/resource/Anders_Koppel,Anders Koppel,28,82,1.0,0.0,0,8,== Discography == | === As sideman ===
