types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/WikicatCompaniesBasedInNewYorkCity,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/WikicatCompaniesEstablishedIn1918,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/WikicatDefunctCompaniesInTheGreaterLosAngelesArea,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
http://dbpedia.org/class/yago/WikicatFilmProductionCompaniesOfTheUnitedStates,http://dbpedia.org/resource/Cosmopolitan_Productions,Cosmopolitan Pictures,62,63,1.0,0.0,3,9,== Stardom == | === Warner Bros. ===
