types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/AnatomicalStructure,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Telecommunication106271778,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatTelecommunications,http://dbpedia.org/resource/Ku_band,KU-,910,52,0.9999999999784848,0.0,0,14,== Discography == | === As leader ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatAmericanPercussionists,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatAmericanSessionMusicians,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/WikicatAmericanSoulMusicians,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Percussionist110415037,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Henry_Gibson_(percussionist),Master Henry Gibson,29,213,0.9999999977189872,0.0,0,28,== Discography == | === As leader ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/State_highway,SH,14363,19,0.6481299829792172,0.49164517399406,0,75,== Discography == | === As sideman ===
