types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/ontology/MilitaryStructure,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/WikicatDisposableBatteries,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/ArmyUnit108190754,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Artillery108389297,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Battery108389572,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/MilitaryUnit108198398,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Lithium_battery,lithium batteries,235,112,0.9969754325859423,0.0030313372533017,0,7,== Career == | === Acting ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Workplace,Jobsite,656,69,0.9999998354798116,0.0,2,7,== Career == | === Acting ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Workplace,Jobsite,656,69,0.9999998354798116,0.0,2,7,== Career == | === Acting ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Workplace,Jobsite,656,69,0.9999998354798116,0.0,2,7,== Career == | === Acting ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Tommy_Blaize,Tommy Blaize,10,101,1.0,0.0,3,10,== Career == | === Music ===
