types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Merchandise103748886,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Accessory102671780,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Clothing103051540,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Commodity103076708,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/ConsumerGoods103093574,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Covering103122748,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/WikicatProductsIntroducedIn1984,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
http://dbpedia.org/class/yago/WikicatFashionAccessories,http://dbpedia.org/resource/Birkin_bag,Birkin bag,39,60,1.0,0.0,3,26,== In popular culture == | === Birkin bag ===
