types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mathematical_logic,Mathematical Logic,1497,30,0.9999999999967316,0.0,1,46,== Selected publications == | === Academic ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Mathematical_logic,Mathematical Logic,1497,30,0.9999999999967316,0.0,1,46,== Selected publications == | === Academic ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/Mathematical_logic,Mathematical Logic,1497,30,0.9999999999967316,0.0,1,46,== Selected publications == | === Academic ===
