types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/Game100456199,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/ontology/VideoGame,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/WikicatTabletopGames,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Pinball,Pinball machine,2282,124,1.0,0.0,1,30,== Career == | === Other ventures ===
