types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatAlbanianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatGreekDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatBrandies,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatBulgarianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatCroatianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatVodkas,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatMacedonianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatMontenegrinDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatRomanianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatRomanianSpirits,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatSerbianDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Agent114778436,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Alcohol107884567,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Beverage107881800,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Brandy107903208,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Drug103247620,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/DrugOfAbuse103248958,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Fluid114939900,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Food100021265,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Liquid114940386,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Liquor107901587,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Matter100020827,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Spirit110636598,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Substance100019613,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Substance100020090,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/VitalPrinciple110757918,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/Vodka107906111,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatTurkishDistilledBeverages,http://dbpedia.org/resource/Rakia,Rakija,192,72,1.0,0.0,1,34,== Musical career == | === 2000s ===
