types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatWestPapuanLanguages,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatLanguageFamilies,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatLanguagesOfWesternNewGuinea,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Class107997703,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Language106282651,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatPapuanLanguages,http://dbpedia.org/resource/Yawa_languages,YAWA,21,81,0.5479026444429884,0.8251417658635776,2,5,== Career == | === 2005–13: Spitfire ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatPeopleFromShawinigan,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatCanadianMusicVideoDirectors,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Director110014939,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Jonathan_Desbiens,Jodeb,7,29,0.9999999999999432,0.0,6,6,== Career == | === 2005–13: Spitfire ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Last_Island_(Louisiana),Last Island,24,97,0.9999966870949232,0.0,8,8,== Career == | === 2014–19: Worlds and Virtual Self ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Last_Island_(Louisiana),Last Island,24,97,0.9999966870949232,0.0,8,8,== Career == | === 2014–19: Worlds and Virtual Self ===
