types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatInternationalCricketCompetitionsIn2009,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Arrangement107938773,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Contest107456188,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Ordering108456993,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Series108457976,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatSportsEventsInCardiff,http://dbpedia.org/resource/2009_Ashes_series,Ashes,127,65,0.915502438147124,0.091621152171562,0,15,== Career == | === Concerts ===
