types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tempo,Allegro Maestoso,8842,60,1.0,0.0,0,52,== Legacy and influence == | === Inspired works ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Tempo,Allegro Maestoso,8842,60,1.0,0.0,0,52,== Legacy and influence == | === Inspired works ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Tempo,Allegro Maestoso,8842,60,1.0,0.0,0,52,== Legacy and influence == | === Inspired works ===
