types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/President_of_the_United_States,US Presidency,57463,145,1.0,0.0,4,12,== Career == | === Advocacy ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/President_of_the_United_States,US Presidency,57463,145,1.0,0.0,4,12,== Career == | === Advocacy ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/President_of_the_United_States,US Presidency,57463,145,1.0,0.0,4,12,== Career == | === Advocacy ===
