types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/AdministrativeUnit108077292,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Agency108337324,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatCompaniesBasedInNewYorkCity,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/WikicatModelingAgencies,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Zoli_Agency,Zoli Agency,6,92,1.0,0.0,11,23,== Biography == | === 1980s ===
