types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/ontology/Building,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/WikicatIndigenousPeoplesOfTheGreatPlains,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Wikicat1977Books,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/People107942152,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/WikicatBooksAboutNativeAmericans,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/WikicatSiouanPeoples,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Great_Sioux_Nation,Sioux Nation,127,44,0.7263965459961682,0.3227056745510152,0,3,== Biography and career == | === Early bands ===
