types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatBBCControversies,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/WikicatCover-ups,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/WikicatScandalsInTheUnitedKingdom,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/WikicatSexCrimesInTheUnitedKingdom,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Concealment101048912,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Cover-up101050187,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Gossip107223170,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Informing107212190,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Report107217924,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Scandal107223811,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/SexualAssault100774107,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/StatutoryOffense100774796,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
http://dbpedia.org/class/yago/Wikicat2012Scandals,http://dbpedia.org/resource/Jimmy_Savile_sexual_abuse_scandal,child abuse scandal,111,91,1.0,0.0,1,43,== Career == | === 2011 ===
