types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatUnitedStatesPresidentialPrimaries,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Election100181781,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Primary100182571,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/Vote100182213,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
http://dbpedia.org/class/yago/WikicatElectionsInTheUnitedStates,http://dbpedia.org/resource/Super_Tuesday,Super Tuesday,568,82,0.9999984467042522,1.4810068695684456e-06,7,28,== Presidential campaigns == | === 1992 ===
