types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/List106481320,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Orthography106351202,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Alphabet106497459,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/CharacterSet106488880,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Database106637824,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/DramaticComposition107007684,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Script106351613,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Script107009946,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/WikicatAlphabets,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/WikicatBrahmicScripts,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Brahmic_scripts,Indic,644,48,0.769285507571107,0.1686374094774612,7,93,== Philosophy == | ==== Indology ====
