types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPeopleWhoWorkWithChildren,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Youth_ministry,youth minister,114,43,0.999999999977632,0.0,7,11,== Career == | === Retirement (2011–2017) ===
