s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/R._Madhavan,R. Madhavan,http://commons.wikimedia.org/wiki/Special:FilePath/Madhavan_Saala_Khadoos_(cropped).jpg?width=300,1970-06-01,,http://www.wikidata.org/entity/Q729982,"Ranganathan Madhavan (born 1 June 1970) is an Indian actor, screenwriter, director, and producer who predominantly appears in Tamil and Hindi films. Madhavan has won four Filmfare Awards South and three Tamil Nadu State Film Awards. Madhavan gained recognition in Tamil cinema through Mani Ratnam's successful romance film Alaipayuthey (2000). He soon developed an image as a romantic hero with notable roles in two of the highest-grossing Tamil films of 2001, Gautham Vasudev Menon's directorial debut Minnale and Madras Talkies' Dumm Dumm Dumm. He achieved further critical and commercial success in the films Kannathil Muthamittal (2002), Run (2002), Jay Jay (2003) and Aethirree (2004). In the mid-2000s, Madhavan also actively pursued a career in Hindi films, by appearing in supporting roles in three highly successful productions, Rakeysh Omprakash Mehra's Rang De Basanti (2006), Mani Ratnam's biopic Guru (2007) and Rajkumar Hirani's 3 Idiots (2009), which went on to become the highest-grossing Indian film of all time upon release at the time. During this time, Madhavan also simultaneously continued working in Tamil cinema with the films Evano Oruvan (2007) and Yavarum Nalam (2009). After appearing in further box office hits, Tanu Weds Manu (2011) and Vettai (2012), Madhavan took a break from acting. Returning after a three-year sabbatical in 2015, his comeback films, the romantic-comedy Tanu Weds Manu Returns (2015), the bilingual sports drama Irudhi Suttru (2016) and the crime film Vikram Vedha (2017) all won critical and commercial acclaim. His performance as a boorish boxing coach in Irudhi Suttru fetched him Best Actor awards at the Filmfare, IIFA and SIIMA award ceremonies. In addition to his acting career, Madhavan has worked as a writer on his films, hosted television programs and has been a prominent celebrity endorser for brands and products. He has also worked as a film producer, first making Evano Oruvan with Leukos Films, before setting up Tricolour Films to produce Saala Khadoos (2016). Madhavan is noted for his philanthropic activities and promotes various causes such as environment, health, and education. He is particularly vocal about the protection of animals and was awarded PETA's Person of the Year recognition in 2011. In 2021, he was conferred the honorary degree of Doctor of Letters by D. Y. Patil Education Society, Kolhapur, for his contribution to arts and cinema."
http://dbpedia.org/resource/Raveendran,Raveendran,http://commons.wikimedia.org/wiki/Special:FilePath/Raveendran.jpg?width=300,1943-11-09,2005-03-03,http://www.wikidata.org/entity/Q7296357,"Madhavan Raveendran (Malayalam: മാധവൻ രവീന്ദ്രൻ), (born Kulathupuzha, Kollam, 9 November 1943 – died Chennai, Tamil Nadu, 3 March 2005), fondly known as Raveendran Master, was a popular South Indian music composer and playback singer from Kerala. He composed songs for more than 150 films primarily for the Malayalam and Tamil film industries. He also composed a few albums, including Vasantha Geethangal, Ponnonatharangini and Rithugeethangal. Raveendran successfully composed melodies based on Hindustani Ragas also."
http://dbpedia.org/resource/Swathi_Thirunal_Rama_Varma,Swathi Thirunal Rama Varma,http://commons.wikimedia.org/wiki/Special:FilePath/Swathi_Thirunal_of_Travancore.jpg?width=300,1813-04-16,1846-12-27,http://www.wikidata.org/entity/Q2283372,"Svāti Tirunāḷ‍ Rāma Varma (Malayalam: സ്വാതി തിരുനാള്‍ രാമവർമ്മ) (16 April 1813 – 26 December 1846) was the Maharaja of the Kingdom of Travancore. He is also considered as a brilliant music composer and is credited with over 400 classical compositions in both Carnatic and Hindustani style. A well-formulated code of laws, courts of justice, introduction of English education, construction of an observatory, installation of the first Government printing press, establishment of the first manuscripts library were amongst the many initiatives taken by Svāti Tirunāḷ‍, as a King, to modernise Travancore."
http://dbpedia.org/resource/J._Sasikumar,J. Sasikumar,http://commons.wikimedia.org/wiki/Special:FilePath/J._Sasikumar.jpg?width=300,1927-10-04,,http://www.wikidata.org/entity/Q6107074,"Nambiathusseril Varkey John (14 October 1927 – 17 July 2014), better known by his screen name Sasikumar, was an Indian film director who worked in Malayalam cinema. He has directed more than 141 films in his career which began in the mid-1960s. He is often referred to as Hitmaker Sasikumar due to the commercial success of his films. In 2012, he was awarded the J. C. Daniel Award, Kerala government's highest honour for contributions to Malayalam cinema Sasikumar holds record for directing most films (141) after Telugu film director Dasari Narayana Rao (151), most films having the same actor as hero Prem Nazir in 84 films and the most films directed in a year, 15 films in 1977. He died in 2014 at the age of 86."
http://dbpedia.org/resource/Balachandra_Menon,Balachandra Menon,http://commons.wikimedia.org/wiki/Special:FilePath/Balachandra_Menon.jpg?width=300,1954-01-11,,http://www.wikidata.org/entity/Q4849740,"Balachandra Menon (Malayalam: ബാലചന്ദ്ര മേനോൻ) (born 11 January 1954) is an Indian actor, director and script writer. He made a number of films in the 1980s and 1990s. He has directed 40 films and has acted in over 100. He won two National Film Awards including the National Film Award for Best Actor for his performance as station master Ismail the 1998 film Samaantharangal, which was also directed by him. He has also worked as a distributor, editor, composer, singer and producer in the Malayalam film industry. He has found space in the Limca Book of Records for the maximum number of films directed, scripted and acted in. Menon has introduced many actors into the Malayalam Cinema Industry. Actors who made their debut in his films include Shobana in April 18, Parvathy in Vivahithare Ithile, Maniyanpilla Raju in Maniyan Pilla Adhava Maniyan Pilla, Karthika in Manicheppu Thurannappol, Annie in Ammayane Sathyam, and Nandini in April 19."
http://dbpedia.org/resource/S._Shankar,S. Shankar,http://commons.wikimedia.org/wiki/Special:FilePath/Shankar_at_the_2.0_Trailer_Launch.jpg?width=300,1963-08-17,,http://www.wikidata.org/entity/Q1156039,"Shankar Shanmugam (born 17 August 1963), credited as S. Shankar or his mononym Shankar, is an Indian filmmaker who predominantly works in Tamil cinema. He is one of the most prolific and highest paid film directors in India. His films typically deal with the contemporary social issues, vigilante themes and the usage of state of the art technology and VFX. He made his debut as a director in the film Gentleman (1993), for which he won the Filmfare Best Director Award and the Tamil Nadu State Film Award for Best Director. He usually collaborates with composer A. R. Rahman, both having done over 10 films together. Two of his films Indian (1996) and Jeans (1998), which deal with social and political issues, were huge critical and also commercial success and also submitted by India for the Academy Award for Best Foreign Language Film. He was awarded an honorary doctorate by M. G. R. University. His psychological thriller Anniyan, featuring Vikram in three distinct characters (Ambi, Remo & Anniyan) was released in 2005. After Anniyan, Shankar teamed up with Rajinikanth on Sivaji (2007), the most expensive Indian film at that time. He was paid with a record salary of ₹100 million for the film . It went on to become one of the highest grossing Tamil films at that time and the highest grosser of the year. He again collaborated with Rajinikanth for a science-fiction film Enthiran (2010), which again turned out to be highest grossing Tamil film at that time and also its sequel 2.0 (2018), is the fourth highest-grossing film in India and the eighth highest-grossing Indian film worldwide."
http://dbpedia.org/resource/Mohanlal,Mohanlal,http://commons.wikimedia.org/wiki/Special:FilePath/Mohanlal_Viswanathan_BNC.jpg?width=300,1960-05-21,,http://www.wikidata.org/entity/Q2050534,"Mohanlal Viswanathan (born 21 May 1960), known mononymously as Mohanlal, is an Indian actor, film producer, playback singer, film distributor, and director who predominantly works in Malayalam cinema besides also having sporadically appeared in Tamil, Hindi, Telugu and Kannada-language films. Mohanlal has a prolific career spanning over four decades, during which he has acted in more than 400 films. Mohanlal's contributions to the Malayalam cinema have been praised by his contemporaries in the Indian film industry. The Government of India honoured him with Padma Shri in 2001, and Padma Bhushan in 2019, India's fourth and third highest civilian honours, for his contributions to Indian cinema. In 2009, he became the first actor in India to be awarded the honorary rank of Lieutenant colonel in the Territorial Army. Mohanlal made his acting debut at age 18 in the Malayalam film Thiranottam in 1978, but the film was delayed in its release for 25 years due to censorship issues. His screen debut was in the 1980 romance film Manjil Virinja Pookkal, in which he played the antagonist. He continued to do villainous roles and rose to secondary lead roles in the following years. By the mid-1980s, he established himself as a bankable leading actor and attained stardom after starring in several successful films in 1986; the crime drama Rajavinte Makan released that year heightened his stardom. Mohanlal prefers to work in Malayalam films, but he has also appeared in some of Hindi, Tamil, Telugu and Kannada films. Some of his best known non-Malayalam films include the Tamil political drama Iruvar (1997), the Hindi crime drama Company (2002) and the Telugu film Janatha Garage (2016). Mohanlal has won five National Film Awards—two Best Actor, a Special Jury Mention and a Special Jury Award for acting, and an award for Best Feature Film (as producer), also nine Kerala State Film Awards and Filmfare Awards South and numerous other accolades. He received honorary doctorates from Sree Sankaracharya University of Sanskrit in 2010 and the University of Calicut in 2018. Mohanlal is also known for his philanthropic endeavours. He founded the ViswaSanthi Foundation, a non-profit charitable organization that was started to create and deliver high-impact and focused programs to the underprivileged sections of society in the areas of Healthcare and Education. Mohanlal was named as one of ""the men who changed the face of the Indian Cinema"" by CNN-News18."
http://dbpedia.org/resource/Shobha_Mohan,Shobha Mohan,,1959-02-07,,http://www.wikidata.org/entity/Q16201244,"Shobha Mohan is an Indian actress known for her works, predominantly in Malayalam cinema along with few Tamil films."
http://dbpedia.org/resource/Naveen_Patnaik,Naveen Patnaik,http://commons.wikimedia.org/wiki/Special:FilePath/NaveenPatnaik.jpg?width=300,1946-10-16,,http://www.wikidata.org/entity/Q1190856,"Naveen Patnaik (born 16 October 1946) is an Indian politician serving as the current and 14th Chief Minister of Odisha. He is also the president of the Biju Janata Dal, a writer and has authored three books. He is the longest-serving chief minister of Odisha and as of 2022, one of the longest-serving chief ministers of any Indian state, holding the post for over two decades, and only the third Indian chief Minister after Pawan Chamling and Jyoti Basu to win five consecutive terms as Chief Minister of an Indian state."
http://dbpedia.org/resource/Rajan_Madhav,Rajan Madhav,,1975-05-31,,http://www.wikidata.org/entity/Q16215399,"Rajan Babu (born Chennai, India, 31 May 1975) is an Indian film director, screenwriter, working predominantly in Tamil cinema based in Chennai. Having born into a family that appreciates all forms of cinema, he has imbibed the quality to breathe in the nuances of the cinema. This can be clearly seen in his debut film Muran. His dad Raveendran strongly inspired him to take up cinema as his career. While his brothers took it to music, Rajan Madhav made it to direction."
