s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Eunice_Kennedy_Shriver,Eunice Kennedy Shriver,http://commons.wikimedia.org/wiki/Special:FilePath/Eunice-Kennedy.jpg?width=300,1921-07-10,2009-08-11,http://www.wikidata.org/entity/Q272908,"Eunice Mary Kennedy Shriver DSG (July 10, 1921 – August 11, 2009) was an American philanthropist and a member of the Kennedy family. She was the founder of the Special Olympics, a sports organization for persons with physical and intellectual disabilities. For her efforts on behalf of disabled people, Shriver was awarded the Presidential Medal of Freedom in 1984. She was a sister of U.S. President John F. Kennedy, U.S. Senators Robert F. Kennedy and Edward Kennedy, Rosemary Kennedy, and U.S. Ambassador to Ireland Jean Kennedy Smith, sister-in-law of Jacqueline Kennedy as well as the mother-in-law of Arnold Schwarzenegger. She was married to Sargent Shriver, who was the United States Ambassador to France and was the Democratic nominee for Vice President of the United States in 1972."
http://dbpedia.org/resource/Paul_Wells,Paul Wells,http://commons.wikimedia.org/wiki/Special:FilePath/Paul_Wells.jpg?width=300,1966-01-01,,http://www.wikidata.org/entity/Q3372414,"Paul Wells is a Canadian journalist and pundit. He was briefly a national affairs columnist for the Toronto Star in 2016–2017. Before that, he was a columnist for Maclean's for thirteen years; his column originally appeared in the back page slot famously occupied for many years by Allan Fotheringham but was subsequently moved to the front of the magazine with other columns."
http://dbpedia.org/resource/Harry_Adaskin,Harry Adaskin,http://commons.wikimedia.org/wiki/Special:FilePath/Hart_House_String_Quartet_1935.jpg?width=300,1901-10-06,1994-04-07,http://www.wikidata.org/entity/Q249436,"Harry Adaskin, OC (Latvian: Harijs Adaskins; 6 October 1901 – 7 April 1994) was a Canadian violinist, academic, and radio broadcaster."
http://dbpedia.org/resource/Frances_Adaskin,Frances Adaskin,,1900-08-23,2001-03-08,http://www.wikidata.org/entity/Q275528,"Frances Alice Adaskin, CM (née Marr; August 23, 1900 – March 8, 2001) was a Canadian pianist."
