s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Diane_Dufresne,Diane Dufresne,http://commons.wikimedia.org/wiki/Special:FilePath/Diane_Dufresne.jpg?width=300,1944-09-30,,http://www.wikidata.org/entity/Q3026211,"Diane Dufresne, CM CQ (born 30 September 1944) is a French Canadian singer and painter, and is known for singing a large repertoire of popular Quebec songs. Dufresne was born in Montreal, Quebec, Canada. She lived in Paris from 1965 to 1967 where she studied voice with Jean Lumière and dramatic art with Françoise Rosay. While there, she performed in noted boîte à chansons such as l'Écluse, l'Échelle de Jacob, and le Caveau de la Bolée. On her return to Montreal, she began a collaboration with composer , and lyricist Luc Plamondon. In March 2019, she was one of 11 singers from Quebec, alongside Ginette Reno, Céline Dion, Isabelle Boulay, Luce Dufault, Louise Forestier, Laurence Jalbert, Catherine Major, Ariane Moffatt, Marie Denise Pelletier and Marie-Élaine Thibert, who participated in a supergroup recording of Renée Claude's 1971 single ""Tu trouveras la paix"" after Claude's diagnosis with Alzheimer's disease was announced."
http://dbpedia.org/resource/Luc_Plamondon,Luc Plamondon,"http://commons.wikimedia.org/wiki/Special:FilePath/Luc_Plamondon,_2015_(cropped).jpg?width=300",1942-03-02,,http://www.wikidata.org/entity/Q591655,"Luc Plamondon, OC, CQ (b. March 2, 1942 in Saint-Raymond, Quebec), is a French-Canadian lyricist and music executive. He is best known for his work on the musicals Starmania and Notre-Dame de Paris. He is the brother of Louis Plamondon, a long-serving member of the House of Commons of Canada. Plamondon has accepted honours from Canadian institutions and is also known as a francophone nationalist and Quebec sovereigntist. He is opposed to Internet music piracy."
http://dbpedia.org/resource/Ginette_Reno,Ginette Reno,http://commons.wikimedia.org/wiki/Special:FilePath/Ginette_Reno_Musée_Grévin_Montréal.jpg?width=300,1946-04-28,,http://www.wikidata.org/entity/Q851529,"Ginette Reno OC CQ (born Ginette Raynault; 28 April 1946) is a Canadian author, composer, singer, and actress. She has received nominations for the Genie and Gemini Awards and is a multi-recipient of the Juno Award. She is a gold and platinum selling Canadian musician."
http://dbpedia.org/resource/Isabelle_Boulay,Isabelle Boulay,http://commons.wikimedia.org/wiki/Special:FilePath/Isabelle_Boulay.jpg?width=300,1972-07-06,,http://www.wikidata.org/entity/Q261019,"Isabelle Boulay, CQ (born 6 July 1972) is a French Canadian singer."
http://dbpedia.org/resource/Luce_Dufault,Luce Dufault,http://commons.wikimedia.org/wiki/Special:FilePath/Luce_Dufault_chez_La_Petite_Église.jpg?width=300,1966-08-19,,http://www.wikidata.org/entity/Q3265099,"Luce Dufault (born August 19, 1966 in Orleans, Ontario) is a Canadian singer. She is of French descent. She performed in two musicals from Luc Plamondon, and Starmania. She recorded a few hits including Soirs de scotch, Au delà des mots and Ce qu'il reste de nous. In March 2019, she was one of 11 singers from Quebec, alongside Ginette Reno, Diane Dufresne, Céline Dion, Isabelle Boulay, Louise Forestier, Laurence Jalbert, Catherine Major, Ariane Moffatt, Marie Denise Pelletier and Marie-Élaine Thibert, who participated in a supergroup recording of Renée Claude's 1971 single ""Tu trouveras la paix"" after Claude's diagnosis with Alzheimer's disease was announced."
http://dbpedia.org/resource/Jean-Claude_Nicolas_Forestier,Jean-Claude Nicolas Forestier,http://commons.wikimedia.org/wiki/Special:FilePath/JCN-Forestier.jpg?width=300,1861-01-09,1930-10-26,http://www.wikidata.org/entity/Q3049328,Jean-Claude Nicolas Forestier (9 January 1861 in Aix-les-Bains – 26 October 1930 in Paris) was a French landscape architect who trained with Adolphe Alphand and became conservator of the promenades of Paris.
http://dbpedia.org/resource/Laurence_Jalbert,Laurence Jalbert,http://commons.wikimedia.org/wiki/Special:FilePath/Laurence_Jalbert_-_Montreal_2012-06-16_-_59.jpg?width=300,1959-08-18,,http://www.wikidata.org/entity/Q3218903,"Laurence Jalbert (born Lise Jalbert, 18 August 1959 in Rivière-au-Renard, Quebec) is a pop and rock singer-songwriter from Quebec."
http://dbpedia.org/resource/Catherine_Major,Catherine Major,"http://commons.wikimedia.org/wiki/Special:FilePath/Daniel_Lavoie,_Montreal_2013-06-20_-_279.jpg?width=300",1980-02-18,,http://www.wikidata.org/entity/Q2941985,"Catherine Major (born February 18, 1980) is a Canadian pop singer and songwriter from Quebec. She is most noted for her 2011 album Le désert des solitudes, which was a Juno Award nominee for Francophone Album of the Year at the Juno Awards of 2012. Originally from Outremont, she studied piano in childhood. She released her debut album Par-dessus bord, in 2004, and toured to support the album as an opening act for Richard Desjardins. In 2007 she composed music for Anaïs Barbeau-Lavalette's film The Ring (Le Ring), for which she won the Jutra Award for Best Original Music at the 10th Jutra Awards. The following year she released her second album, Rose sang. Le désert des solitudes was released in 2011. The following year she received a second Jutra nomination for Best Original Music, for her work on Micheline Lanctôt's film For the Love of God (Pour l'amour de Dieu). Her fourth album, La maison du monde, followed in 2015. In 2019, she participated alongside Ginette Reno, Diane Dufresne, Céline Dion, Isabelle Boulay, Luce Dufault, Louise Forestier, Laurence Jalbert, Ariane Moffatt, Marie Denise Pelletier and Marie-Élaine Thibert in a supergroup recording of Renée Claude's ""Tu trouveras la paix"", as a charitable fundraiser for Alzheimer's disease research after Claude's diagnosis with Alzheimer's was announced. Later the same year she performed a show with the Orchestre Symphonique de Québec, premiering several new songs from her forthcoming fifth album. The album, Carte mère, was released in 2020."
http://dbpedia.org/resource/Ariane_Moffatt,Ariane Moffatt,http://commons.wikimedia.org/wiki/Special:FilePath/Ariane_Moffat_officielle_-_Jerry_pigeon.png?width=300,1979-04-26,,http://www.wikidata.org/entity/Q459876,"Ariane Moffatt (born 26 April 1979) is a Canadian singer-songwriter. Known for working across multiple musical genres, Moffatt's music combines elements of electronica, jazz, folk, and pop. A francophone, she is bilingual and has recorded tracks in both French and English. Her 2002 debut album Aquanaute went platinum in Quebec, earning 11 nominations at the 2003 ADISQ Awards and winning three Félix awards (for Discovery of the Year, Album of the Year – Pop/Rock, and Album Producer of the Year). She is known in Quebec for two well-received singles from Aquanaute: ""La barricade"" and ""Dans un océan""."
http://dbpedia.org/resource/Marie_Denise_Pelletier,Marie Denise Pelletier,http://commons.wikimedia.org/wiki/Special:FilePath/Marie-Denise_Pelletier_au_L'Étoile_Banque_Nationale.jpg?width=300,1960-04-03,,http://www.wikidata.org/entity/Q3292477,"Marie Denise Pelletier (born 3 April 1960) is a francophone Canadian singer. She served as President of Artisti, a copyright collective for music artists operated by Quebec's l'Union des artistes (UDA)."
