s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Hiram_Bingham_I,Hiram Bingham I,http://commons.wikimedia.org/wiki/Special:FilePath/Hiram_Bingham_I.jpg?width=300,1789-10-30,1869-11-11,http://www.wikidata.org/entity/Q497096,"Hiram Bingham, formally Hiram Bingham I (October 30, 1789 – November 11, 1869), was leader of the first group of American Protestant missionaries to introduce Christianity to the Hawaiian islands. Like most of the missionaries, he was from New England."
"http://dbpedia.org/resource/Tom_Bingham,_Baron_Bingham_of_Cornhill","Tom Bingham, Baron Bingham of Cornhill","http://commons.wikimedia.org/wiki/Special:FilePath/Thomas_Bingham,_Baron_Bingham_of_Cornhill.jpg?width=300",1933-10-13,2010-09-11,http://www.wikidata.org/entity/Q2424692,"Thomas Henry Bingham, Baron Bingham of Cornhill, KG, PC, FBA (13 October 1933 – 11 September 2010), was an eminent British judge who was successively Master of the Rolls, Lord Chief Justice and Senior Law Lord. He was described as the greatest lawyer of his generation. Baroness Hale of Richmond observed that his pioneering role in the formation of the United Kingdom Supreme Court may be his most important and long-lasting legacy. Lord Phillips of Worth Matravers regarded Bingham as ""one of the two great legal figures of my lifetime in the law"" (the other figure, in context, being Lord Denning). David Hope, Baron Hope of Craighead described Bingham as ""the greatest jurist of our time"". After retiring from the judiciary in 2008, Bingham focused on teaching, writing, and lecturing on legal subjects, particularly the law of human rights. His book, The Rule of Law, was published in 2010 and he was posthumously awarded the 2011 Orwell Prize for literature. The British Institute of International and Comparative Law named the Bingham Centre for the Rule of Law in his honour."
http://dbpedia.org/resource/Jude_the_Apostle,Jude the Apostle,http://commons.wikimedia.org/wiki/Special:FilePath/Anthonis_van_Dyck_088.jpg?width=300,0010-01-01,0062-01-01,http://www.wikidata.org/entity/Q43945,"Jude (Greek: Ἰούδας Ἰακώβου translit. Ioúdas Iakóbou) was one of the Twelve Apostles of Jesus according to the New Testament. He is generally identified as Thaddeus (Greek: Θαδδαῖος; Coptic: ⲑⲁⲇⲇⲉⲟⲥ; Syriac/Aramaic: ܝܗܘܕܐ ܫܠܝܚܐ), and is also variously called Judas Thaddaeus, Jude Thaddaeus, Jude of James, or Lebbaeus and is considered as the founding father and the first Catholicos-Patriarch of the Armenian Apostolic Church. He is sometimes identified with Jude, the brother of Jesus, but is clearly distinguished from Judas Iscariot, the apostle who betrayed Jesus prior to his crucifixion. Catholic writer Michal Hunt suggests that Judas Thaddaeus became known as Jude after early translators of the New Testament from Greek into English sought to distinguish him from Judas Iscariot and subsequently abbreviated his forename. Most versions of the New Testament in languages other than English and French refer to Judas and Jude by the same name. The Armenian Apostolic Church honors Thaddeus along with Saint Bartholomew as its patron saints. In the Roman Catholic Church, he is the patron saint of desperate cases and lost causes. Saint Jude's attribute is a club. He is also often shown in icons with a flame around his head. This represents his presence at Pentecost, when he received the Holy Spirit with the other apostles. Another common attribute is Jude holding an image of Jesus Christ, known as the Image of Edessa. In some instances, he may be shown with a scroll or a book (the Epistle of Jude) or holding a carpenter's rule."
http://dbpedia.org/resource/Lucy_Goodale_Thurston,Lucy Goodale Thurston,"http://commons.wikimedia.org/wiki/Special:FilePath/Lucy_Goodale_Thurston,_photograph_by_Bradley_&_Rulofson,_Mission_Houses_Museum_Archives.png?width=300",1795-10-29,1876-10-13,http://www.wikidata.org/entity/Q18921121,"Lucy Goodale Thurston (October 29, 1795 – October 13, 1876) was a Protestant missionary and author. She was the wife of Asa Thurston and was one of the first American Christian missionaries to Hawaii. She is noted for her letters documenting her life and missionary works in the islands."
http://dbpedia.org/resource/Alexis_of_Russia,Alexis of Russia,"http://commons.wikimedia.org/wiki/Special:FilePath/Alexis_I_of_Russia_(1670-1680s,_GIM).jpg?width=300",1629-03-19,1676-02-08,http://www.wikidata.org/entity/Q7731,"Aleksey Mikhaylovich (Russian: Алексе́й Миха́йлович, IPA: [ɐlʲɪkˈsʲej mʲɪˈxajləvʲɪtɕ]; 19 March [O.S. 9 March] 1629 – 8 February [O.S. 29 January] 1676) was the Tsar of Russia from 1645 until his death in 1676. While finding success in foreign affairs, his reign saw several wars with Iran, Poland and Sweden, as well as internal instabilities such as the Salt Riot in Moscow and the Cossack revolt of Stenka Razin in southern Russia. In religious matters, he sided closely with Patriarch Nikon during the schism in the Russian Orthodox Church which saw unpopular liturgical reforms. He was the first tsar to sign laws on his own authority and his council passed the Sobornoye Ulozheniye of 1649 which strengthened the bonds between autocracy and the lower nobility, at the time of his death Russia spanned almost two billion acres (8.1 million km2)."
http://dbpedia.org/resource/Naomi_Campbell,Naomi Campbell,http://commons.wikimedia.org/wiki/Special:FilePath/Naomi_Campbell_Cannes_2018.jpg?width=300,1970-05-22,,http://www.wikidata.org/entity/Q199369,"Naomi Elaine Campbell (born 22 May 1970) is an English model, actress, singer, and businesswoman. She began her career at the age of 15, and established herself amongst the most recognisable and in-demand models of the past four decades. Campbell was one of six models of her generation declared supermodels by the fashion industry and the international press. In addition to her modelling career, Campbell has embarked on other ventures, including an R&B studio album and several acting appearances in film and television, such as the modelling-competition reality show The Face and its international offshoots. Campbell is also involved in charity work for various causes."
http://dbpedia.org/resource/Leonard_Bacon,Leonard Bacon,http://commons.wikimedia.org/wiki/Special:FilePath/Leonard_Bacon_portrait.jpg?width=300,1802-02-19,1881-12-24,http://www.wikidata.org/entity/Q3830297,"Reverend Leonard Bacon (February 19, 1802 – December 24, 1881) was an American Congregational preacher and writer. He held the pulpit of the and was later professor of church history and polity at Yale College."
http://dbpedia.org/resource/Asa_Thurston,Asa Thurston,http://commons.wikimedia.org/wiki/Special:FilePath/Asa_and_Lucy_Thurston_(full).jpg?width=300,1787-10-12,1868-03-11,http://www.wikidata.org/entity/Q18921120,"Asa Thurston (October 12, 1787 – March 11, 1868) was a Protestant missionary from the United States who was part of the first company of American Christian missionaries to the Hawaiian Islands with his wife Lucy Goodale Thurston."
http://dbpedia.org/resource/Hiram_Bingham_II,Hiram Bingham II,http://commons.wikimedia.org/wiki/Special:FilePath/Hiram_and_Clara_Brewster_Bingham_in_1887.jpg?width=300,1831-08-16,1908-10-25,http://www.wikidata.org/entity/Q5769048,"Hiram Bingham II (August 16, 1831 – October 25, 1908) was a Protestant Christian missionary to Hawaii and the Gilbert Islands."
http://dbpedia.org/resource/Titus_Coan,Titus Coan,http://commons.wikimedia.org/wiki/Special:FilePath/Titus_Coan.jpg?width=300,1801-02-01,1882-12-01,http://www.wikidata.org/entity/Q2437115,"Titus Coan (February 1, 1801 – December 1, 1882) was an American minister from New England who spent most of his life as a Christian missionary to the Hawaiian Islands."
