s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Brian_Vander_Ark,Brian Vander Ark,http://commons.wikimedia.org/wiki/Special:FilePath/Brian_Vander_Ark.jpg?width=300,1966-06-19,,http://www.wikidata.org/entity/Q4965537,Brian Vander Ark is an American singer-songwriter best known as lead singer for the band The Verve Pipe.
http://dbpedia.org/resource/Joe_Walsh,Joe Walsh,http://commons.wikimedia.org/wiki/Special:FilePath/Joe_Walsh_2019.jpg?width=300,1947-11-20,,http://www.wikidata.org/entity/Q354033,"Joseph Fidler Walsh (born November 20, 1947) is an American guitarist, singer, and songwriter. In a career spanning over five decades, he has been a member of three successful rock bands: the James Gang, Eagles, and Ringo Starr & His All-Starr Band. He was also part of the New Zealand band Herbs. In the 1990s, he was a member of the short-lived supergroup The Best. Walsh has also experienced success both as a solo artist and as a prolific session musician, being featured on a wide array of other artists' recordings. In 2011, Rolling Stone placed him at the No. 54 spot on its list of ""100 Greatest Guitarists of All Time"". In the mid-1960s, after attending Kent State University, Walsh played with several local Ohio-based bands before reaching a national audience as a member of the James Gang, whose hit song ""Funk #49"" highlighted his skill as both a guitarist and singer. Roger Abramson, a concert producer and artist manager, signed the James Gang to a management agreement with BPI in Cleveland. After leaving the James Gang in 1972, he formed Barnstorm with Joe Vitale, a college friend from Ohio, and Kenny Passarelli, a bassist from Colorado, where Walsh had moved after leaving Ohio. While the band stayed together for three albums over three years, its works were marketed as Walsh solo projects. The last Barnstorm album, 1974's So What contained significant guest contributions from several members of the Eagles, a group that had recently hired Walsh's producer, Bill Szymczyk. At Szymczyk's suggestion, Walsh joined the Eagles in 1975 as the band's guitarist and keyboardist following the departure of their founding member Bernie Leadon, with Hotel California being his first album with the band. In 1998, a reader's poll conducted by Guitarist magazine selected the guitar solos on the track ""Hotel California"" by Walsh and Don Felder as the best guitar solos of all time. Guitar World magazine listed it at eighth of the Top 100 Guitar Solos. Besides his work with his several bands, he has released 12 solo studio albums, six compilation albums, and two live albums. His solo hits include ""Rocky Mountain Way"", ""Life's Been Good"", ""All Night Long"", ""A Life of Illusion"", and ""Ordinary Average Guy"". As a member of the Eagles, Walsh was inducted into the Rock and Roll Hall of Fame in 1998, and into the Vocal Group Hall of Fame in 2001. The Eagles are considered to be one of the most influential bands of the 1970s, and they remain one of the best-selling American bands in the history of popular music. His creative contribution to music has received praise from many of the best rock guitarists, including Led Zeppelin's Jimmy Page, who said, ""He has a tremendous feel for the instrument. I've loved his style since the early James Gang."" Eric Clapton said that ""He's one of the best guitarists to surface in some time. I don't listen to many records, but I listen to his."" The Who's guitarist, Pete Townshend, said ""Joe Walsh is a fluid and intelligent player. There're not many like that around."""
http://dbpedia.org/resource/Elvin_Bishop,Elvin Bishop,http://commons.wikimedia.org/wiki/Special:FilePath/Elvin_Bishop_2010.jpg?width=300,1942-10-21,,http://www.wikidata.org/entity/Q1334244,"Elvin Richard Bishop (born October 21, 1942) is an American blues and rock music singer, guitarist, bandleader, and songwriter. An original member of the Paul Butterfield Blues Band, he was inducted into the Rock and Roll Hall of Fame as a member of that group in 2015 and the Blues Hall of Fame in his own right in 2016. Bishop feels that the limitations of his voice have helped his songwriting."
http://dbpedia.org/resource/Bill_Szymczyk,Bill Szymczyk,http://commons.wikimedia.org/wiki/Special:FilePath/Bill_Szymczyk_at_Sterling_Sound_2014_(cropped).jpg?width=300,1943-02-13,,http://www.wikidata.org/entity/Q4911099,"William Frank Szymczyk (/ˈsɪmzɪk/; born February 13, 1943) is an American music producer and technical engineer best known for working with rock and blues musicians, most notably the Eagles in the 1970s. He produced many top albums and singles of the 1970s, though–aside from continuing to work with Joe Walsh–he retired from the music business by 1990. He re-emerged in the late 2000s, taking on select projects including the 2007 Eagles album Long Road Out of Eden and the 2008 eponymous debut of Brian Vander Ark. Unlike many music producers, Szymczyk has no background as a musician. He was originally a sonar operator for the U.S. Navy and took some audio production classes as part of his Navy training. Besides his work with the Eagles, he has produced hit songs and albums for such diverse artists as B.B. King, Joe Walsh, The James Gang, and Elvin Bishop."
http://dbpedia.org/resource/Carole_King,Carole King,http://commons.wikimedia.org/wiki/Special:FilePath/Carole_King_2002_(cropped).jpg?width=300,1942-02-09,,http://www.wikidata.org/entity/Q217787,"Carole King Klein (born Carol Joan Klein; February 9, 1942) is an American singer, songwriter, and musician who has been active since 1958, initially as one of the staff songwriters at 1650 Broadway and later as a solo artist. Regarded as one of the most significant and influential musicians of all time, King is the most successful female songwriter of the latter half of the 20th century in the US, having written or co-written 118 pop hits on the Billboard Hot 100. King also wrote 61 hits that charted in the UK, making her the most successful female songwriter on the UK singles charts between 1962 and 2005. King's major success began in the 1960s when she and her first husband, Gerry Goffin, wrote more than two dozen chart hits, many of which have become standards, for numerous artists. She has continued writing for other artists since then. King's success as a performer in her own right did not come until the 1970s, when she sang her own songs, accompanying herself on the piano, in a series of albums and concerts. After experiencing commercial disappointment with her debut album Writer, King scored her breakthrough with the album Tapestry, which topped the U.S. album chart for 15 weeks in 1971 and remained on the charts for more than six years. King has made 25 solo albums, the most successful being Tapestry, which held the record for most weeks at No. 1 by a female artist for more than 20 years. Her record sales were estimated at more than 75 million copies worldwide. She has won four Grammy Awards and was inducted into the Songwriters Hall of Fame. She has been inducted twice into the Rock and Roll Hall of Fame, as a performer and songwriter. She is the recipient of the 2013 Library of Congress Gershwin Prize for Popular Song, the first woman to be so honored. She is also a 2015 Kennedy Center Honoree."
http://dbpedia.org/resource/Gerry_Goffin,Gerry Goffin,http://commons.wikimedia.org/wiki/Special:FilePath/Gerry_Goffin.jpg?width=300,1939-02-11,2014-06-19,http://www.wikidata.org/entity/Q48774,"Gerald Goffin (February 11, 1939 – June 19, 2014) was an American lyricist. Collaborating initially with his first wife, Carole King, he co-wrote many international pop hits of the early and mid-1960s, including the US No.1 hits ""Will You Love Me Tomorrow"", ""Take Good Care of My Baby"", ""The Loco-Motion"", and ""Go Away Little Girl"". It was later said of Goffin that his gift was ""to find words that expressed what many young people were feeling but were unable to articulate."" After he and King divorced, Goffin wrote with other composers, including Barry Goldberg and Michael Masser, with whom he wrote ""Theme from Mahogany (Do You Know Where You're Going To)"" and ""Saving All My Love for You"", also No. 1 hits. During his career, Goffin wrote over 114 Billboard Hot 100 hits, including eight chart-toppers, and 72 UK hits. He was inducted into the Rock and Roll Hall of Fame in 1990, with Carole King."
http://dbpedia.org/resource/Jerry_Ragovoy,Jerry Ragovoy,,1930-09-04,2011-07-13,http://www.wikidata.org/entity/Q920665,"Jordan ""Jerry"" Ragovoy (September 4, 1930 – July 13, 2011) was an American songwriter and record producer. His best-known composition ""Time Is on My Side"" (written under the pseudonym of Norman Meade) was made famous by the Rolling Stones, although it had been recorded earlier by Kai Winding and Irma Thomas. Ragovoy also wrote ""Stay With Me"", which was originally recorded by Lorraine Ellison and made famous by Bette Midler in her film The Rose. It was also performed by Mary J. Blige at the 49th Grammy Awards. He also wrote ""Piece of My Heart"" which became a significant hit for Big Brother and the Holding Company, featuring Janis Joplin. During the 1960s, Ragovoy ""helped mould the new African-American sound of soul music"", according to the obituary in The Guardian. During this venture, he co-wrote the Afro-pop dance song ""Pata Pata"" with Miriam Makeba; the song became a major hit for Makeba and was covered by numerous other artists. He was the founder of The Hit Factory."
http://dbpedia.org/resource/Harvey_Brooks_(bassist),Harvey Brooks (bassist),http://commons.wikimedia.org/wiki/Special:FilePath/harveycapture.jpg?width=300,1944-07-04,,http://www.wikidata.org/entity/Q117270,"Harvey Brooks (born Harvey Goldstein; July 4, 1944) is an American bass guitarist."
http://dbpedia.org/resource/Albert_Collins,Albert Collins,http://commons.wikimedia.org/wiki/Special:FilePath/AlbertCollins1990.jpg?width=300,1932-10-01,1993-11-24,http://www.wikidata.org/entity/Q741119,"Albert Gene Drewery, known as Albert Collins and the Ice Man (October 1, 1932 – November 24, 1993), was an American electric blues guitarist and singer with a distinctive guitar style. He was noted for his powerful playing and his use of altered tunings and a capo. His long association with the Fender Telecaster led to the title ""The Master of the Telecaster""."
http://dbpedia.org/resource/Michael_Stanley,Michael Stanley,"http://commons.wikimedia.org/wiki/Special:FilePath/Michael_Stanley_Tower_City_Amphitheater_Cleveland_OH_June_8,_2002.jpg?width=300",1948-03-25,2021-03-05,http://www.wikidata.org/entity/Q6834562,"Michael Stanley (born Michael Stanley Gee; March 25, 1948 – March 5, 2021) was an American singer-songwriter, musician, radio and television personality. Both as a solo artist and with the Michael Stanley Band (MSB), his brand of heartland rock was popular in Cleveland, Ohio, and around the American Midwest in the 1970s and 1980s."
